Cruise,Cycle,Deployment_Datetime,Recovery_Datetime,Deployment_Latitude_deg,Deployment_Longitude_deg,Recovery_Latitude_deg,Recovery_Longitude_deg,Depth_m,Zeu_m,Carbon_flux_mgm2day,Carbon_flux_standard_error_mgm2day,Carbon_flux_corr_mgm2day,Carbon_flux_standard_error_corr_mgm2day,water_age,Nsupply_mmolCm3d,GAalongtraj_Cproduction_mgCm3day,GAalongtraj_CZeu_mgCm2day,export_EFOC_mgm2day,GAgridded_Cproduction_mgm3day,GAgridded_CZeu_mgm2day
1208,  3,08/12/2012 23:45,08/15/2012 05:56, 34.55675,  -122.5016, 34.50119,  -122.4291, 60, 49.86,149.5099672,32.12267315,166.6694603,35.80944265, 51.2533217,26.86842997,5.044581195,131.1733877,     315.25, 11.06169767,287.6354449 
1208,  4,08/15/2012 23:53,08/18/2012 05:06, 34.55938,   -123.262, 34.08557,   -123.709,100, 112.6,133.3262062, 18.3127477,122.4062348,16.81285742,46.03413253,10.14919389, 5.12687374,84.85750582,90.58888889, 3.878120387,64.18875128 
1208,  5,08/18/2012 18:46,08/20/2012 00:26, 34.14457,   -123.226, 33.78285,  -123.6192, 70, 82.38,327.5172945,63.66267398,230.6677038,44.83709127,52.46991057,14.22255105,4.282732386,88.11586493,163.8181818, 5.658707367,116.4261152 
1408,  1,08/11/2014 00:30,08/14/2014 06:49,  34.5075,   -120.765,  34.9213,   -121.362, 60, 48.35,158.0492947,13.53165883,157.8353289,13.51333978,30.45994167, 13.3736515,10.46291111,275.0393312,213.9031469, 1.845712491,48.51838307 
1408,  2,08/17/2014 02:35,08/20/2014 06:47,  34.2696,  -120.8197,  34.0801,  -120.8918, 60, 54.62,123.6594822,23.68482616,133.9647695,25.65862497,16.68738264,4.854447967,6.144058677,154.3802829,      170.4, 6.330326152,159.0605808 
1408,  3,08/22/2014 00:57,08/25/2014 06:14,  34.3854,  -121.3949,  34.4171,   -121.027, 60, 69.31,110.9846804, 18.2902705,84.79195632,13.97371072,7.356314675,5.404287966,4.832982587,109.2489444,      134.7, 3.092859425,69.91368607 
1408,  4,08/26/2014 01:27,08/29/2014 06:59,  33.5214,  -122.5591,  33.6445,  -122.3994,100,100.49,38.71272148,8.326892273,38.57314727,8.296870632,69.36447511,27.15072406,2.294691272,41.44087424,      95.15,           0,          0 
1408,  5,08/30/2014 00:51,09/02/2014 05:46,  32.8813,  -123.8999,  32.7884,  -123.7995,110,114.08,35.51447672, 9.08237385,34.33586337, 8.78095854,        NaN,        NaN,        NaN,        NaN,       76.3,           0,          0 
1604,  1,04/22/2016 01:45,04/27/2016 16:15, 32.97706,  -123.0257, 33.39125,  -123.2114,100, 98.53, 72.1274999,12.72356435,74.32056718,13.11042973,53.83920218,7.643506152,3.509337111,64.27742906,    86.4125, 4.429482819,81.13092548 
1604,  2,04/29/2016 00:30,05/02/2016 06:30, 33.59193,  -122.2086, 33.48388,  -121.8427, 97, 115.6,40.21087734,6.500333006,38.84424953,6.279409306,30.25176911,9.731056073,8.715852269,141.1779073,     83.725, 5.885784456,95.33694548 
1604,  3,05/03/2016 00:45,05/06/2016 06:15, 34.79821,  -121.2781, 34.43356,  -121.2233, 97, 78.57,91.46783303,3.933777039,101.9786532,4.385818172,49.65556703,15.73692876,4.928720858,104.2271733,    158.735, 8.449834398,178.6878136 
1604,  4,05/07/2016 00:30,05/10/2016 07:00, 34.43888,  -120.6904, 34.38705,  -121.1016, 47, 28.67,250.9835736,14.41472692,248.1498633,14.25197858, 19.0623645,27.74379551,22.19752506, 672.333287,282.4055556, 11.44076025,346.5252961 
1706,  1,06/09/2017 01:20,06/12/2017 07:30, 35.06498,  -121.0918, 34.89808,  -121.1998, 42, 23.08, 351.475849,91.50257989,504.4678984,131.3322503,36.00210573,39.77022473,12.01464073,378.8526521,527.6733333,  8.22430013,259.3334237 
1706,  2,06/13/2017 19:30,06/17/2017 09:30, 34.75423,  -121.8284, 34.66273,  -122.5412, 42, 35.54,533.6473139,102.9315973,642.9607492,124.0163217,23.92555802,18.19377449, 15.3999436,443.9328129,    498.352, 8.670395347,249.9407203 
1706,2.1,06/17/2017 00:30,06/23/2017 23:50,  34.6863,  -122.3386, 34.42446,   -123.095, 47, 49.29,549.9214647,65.55298572,524.7440629,62.55173196,29.46442445,29.02920474,16.28788922,425.2729595,355.2495536, 9.067383886,236.7472623 
1706,  3,06/19/2017 01:00,06/22/2017 05:45, 34.38725,  -123.1778, 34.00283,  -122.6023, 63, 60.55,559.9242371,316.0080598,613.8256484,346.4287476,50.61624887,28.58806044,5.251838284,126.4460261,164.9933333, 7.446941147,179.2964795 
1706,  4,06/23/2017 23:00,06/26/2017 05:30, 34.40285,  -123.0929, 34.50568,  -123.0083, 53, 63.03,428.7342478,33.65022007,397.0225854,31.16125534,24.99598938,14.84036718,12.99933627,307.4399187,207.4666667,  9.03244768,213.6212898 
1908,  1,08/12/2019 23:00,08/17/2019 07:15,36.181653,-121.983286,36.242069,-122.645569, 47, 26.52,537.5368056, 118.172136,785.1139992,172.5995268, 6.73211163,25.58532446, 7.80918383,240.2196797,486.3811111, 10.45451069,321.5930454 
1908,  2,08/18/2019 20:45,08/23/2019 06:30,36.130883,-122.659844,35.976311,-122.751303, 47, 34.34,423.7510744, 67.3329659,502.5031834,79.84647535,14.02251328,25.12738319,16.40208595,476.9243582,     355.85, 15.56410168,452.5582434 
1908,  3,08/24/2019 00:50,08/26/2019 06:50,35.593739,-122.666408,35.600678,  -122.6514,111, 81.39,495.0719378,23.11838866,542.6466634,25.33998701,38.00877608,17.67129484,8.624711739,178.7201049,      290.2, 2.551291355,52.86751286 
1908,  4,08/30/2019 01:34,09/02/2019 07:34,34.902031,-124.772489,34.970419,-124.950594,111,100.25, 181.519049,20.74398455,195.9762064, 22.3961475,57.93588098,36.18686869,3.938597304,71.25193861,     87.275, 1.314044275,23.77196621 
2107,  1,07/21/2021 00:00,07/26/2021 00:00,  36.1937,-122.025725,36.214172,-122.400081, 60, 51.47,270.5735929,41.22814671,293.6100248,44.73828006,5.930072129,17.22033889,6.169243752,158.5689705,   300.3625, 7.222772596,185.6479757 
2107,  2,07/27/2021 00:00,08/01/2021 00:00,36.279817,-122.642558, 36.57305,-123.100825, 56, 73.52,191.3696468,51.30540996,149.6230432,40.11331838,69.55031049,8.638683004,2.004699452,43.96296311,176.0272727, 7.330593856,160.7595727 
2107,  3,08/02/2021 00:00,08/07/2021 00:00,34.765872,-130.544664,34.532042,-130.536081,109,104.84,125.7488965,42.17146065,138.4188956,46.42050286,        NaN,        NaN,        NaN,        NaN, 86.5952381,           0,          0 
